comparison,metric,mean_paired_diff,ci95_low,ci95_high
t3_to_t4,final_intent_satisfaction,-0.0370,-0.1667,0.0926
t3_to_t4,final_personalization_target_use,-0.1111,-0.3519,0.1111
t3_to_t4,final_specificity,0.0926,-0.0185,0.2222
t3_to_t4,final_non_genericness,-0.0185,-0.1111,0.0741
t3_to_t4,final_missing_constraint_awareness,-0.0185,-0.0741,0.0370
t3_to_t4,final_groundedness,0.0727,0.0000,0.1636
t3_to_t4,retrieval_evidence_relevance,0.1091,0.0000,0.2364
t3_to_t4,retrieval_constraint_coverage,0.1091,-0.0545,0.3091
t3_to_t4,retrieval_result_persona_fit,0.1364,0.0000,0.3091
t3_to_t4,retrieval_source_quality,0.1818,0.0545,0.3273
t4_to_t5,final_intent_satisfaction,0.0926,-0.0741,0.2778
t4_to_t5,final_personalization_target_use,0.1481,-0.0926,0.4444
t4_to_t5,final_specificity,0.0000,-0.1481,0.1481
t4_to_t5,final_non_genericness,0.0741,-0.0556,0.2222
t4_to_t5,final_missing_constraint_awareness,0.0926,0.0185,0.1852
t4_to_t5,final_groundedness,0.0364,-0.0545,0.1273
t4_to_t5,retrieval_evidence_relevance,0.0909,-0.0364,0.2364
t4_to_t5,retrieval_constraint_coverage,0.0545,-0.1273,0.2727
t4_to_t5,retrieval_result_persona_fit,0.0182,-0.1459,0.1818
t4_to_t5,retrieval_source_quality,0.0909,-0.0182,0.2182
t3_to_t5,final_intent_satisfaction,0.0556,-0.1296,0.2593
t3_to_t5,final_personalization_target_use,0.0370,-0.2593,0.3704
t3_to_t5,final_specificity,0.0926,-0.0741,0.2778
t3_to_t5,final_non_genericness,0.0556,-0.0741,0.1852
t3_to_t5,final_missing_constraint_awareness,0.0741,0.0000,0.1667
t3_to_t5,final_groundedness,0.1091,0.0000,0.2182
t3_to_t5,retrieval_evidence_relevance,0.2000,0.0545,0.3636
t3_to_t5,retrieval_constraint_coverage,0.1636,-0.0545,0.4186
t3_to_t5,retrieval_result_persona_fit,0.1545,-0.0636,0.4000
t3_to_t5,retrieval_source_quality,0.2727,0.0909,0.4545
