band,n,metric,mean_paired_diff,ci95_low,ci95_high
weak (r1<=3),14,final_intent_satisfaction,-0.2143,-0.4286,0.0000
weak (r1<=3),14,final_personalization_target_use,-0.1429,-0.5000,0.1429
weak (r1<=3),14,retrieval_constraint_coverage,0.3571,-0.0714,0.7875
weak (r1<=3),14,retrieval_source_quality,0.3571,0.0714,0.7143
mid (3<r1<5),41,final_intent_satisfaction,0.1500,-0.0750,0.4000
mid (3<r1<5),41,final_personalization_target_use,0.1000,-0.2500,0.5000
mid (3<r1<5),41,retrieval_constraint_coverage,0.0976,-0.1951,0.4146
mid (3<r1<5),41,retrieval_source_quality,0.2439,0.0488,0.4878
saturated (r1=5),17,final_intent_satisfaction,0.0625,-0.1250,0.3125
saturated (r1=5),17,final_personalization_target_use,-0.1250,-0.3125,0.0000
saturated (r1=5),17,retrieval_constraint_coverage,0.0000,-0.1765,0.1765
saturated (r1=5),17,retrieval_source_quality,0.0000,-0.1765,0.1765
