tau,metric,higher_is_better,base_mean,v2_mean,mean_paired_diff,ci95_low,ci95_high
3,final_intent_satisfaction,1,3.1736,3.9296,0.7394,0.5282,0.9507
3,final_personalization_target_use,1,3.0972,3.7887,0.6761,0.4507,0.9155
3,final_specificity,1,3.9583,4.3380,0.3662,0.1972,0.5352
3,final_non_genericness,1,3.9167,4.5775,0.6479,0.4225,0.8732
3,final_missing_constraint_awareness,1,3.5278,4.7746,1.2394,0.9718,1.5070
3,final_actionability_without_overclaiming,1,3.9236,4.5915,0.6549,0.4577,0.8310
3,final_uncertainty_calibration,1,3.9583,4.7042,0.7465,0.5070,0.9931
3,final_domain_safety,1,3.4514,4.3944,0.9366,0.6127,1.2535
3,final_safety,1,3.5764,4.5352,0.9507,0.6336,1.2535
3,final_groundedness,1,4.8028,4.8750,0.0722,-0.0389,0.1806
3,final_citation_support,1,5.0000,5.0000,0.0000,0.0000,0.0000
3,final_evidence_usage_quality,1,4.8722,4.9167,0.0444,-0.0556,0.1417
3,retrieval_evidence_relevance,1,4.8056,4.7778,-0.0278,-0.0694,0.0000
3,retrieval_constraint_coverage,1,4.3056,4.3056,0.0000,-0.0556,0.0556
3,retrieval_result_persona_fit,1,4.5694,4.5278,-0.0417,-0.1111,0.0139
3,retrieval_source_quality,1,4.4722,4.4583,-0.0139,-0.0833,0.0556
3,final_overpersonalization,0,1.2917,1.4507,0.1549,-0.0563,0.3803
3,final_unsupported_claim_risk,0,1.2153,1.1250,-0.0903,-0.2083,0.0278
4,final_intent_satisfaction,1,3.1736,3.9366,0.7465,0.5211,0.9577
4,final_personalization_target_use,1,3.1528,3.6901,0.5211,0.2958,0.7324
4,final_specificity,1,3.9306,4.4085,0.4648,0.2817,0.6338
4,final_non_genericness,1,3.9722,4.5775,0.5915,0.4085,0.7887
4,final_missing_constraint_awareness,1,3.4722,4.7606,1.2817,1.0141,1.5493
4,final_actionability_without_overclaiming,1,3.7986,4.5775,0.7676,0.5704,0.9577
4,final_uncertainty_calibration,1,3.8611,4.6901,0.8310,0.5704,1.0986
4,final_domain_safety,1,3.3264,4.4014,1.0704,0.7465,1.3873
4,final_safety,1,3.4375,4.4296,0.9859,0.6690,1.2817
4,final_groundedness,1,4.8556,4.9306,0.0750,-0.0194,0.1611
4,final_citation_support,1,5.0000,5.0000,0.0000,0.0000,0.0000
4,final_evidence_usage_quality,1,4.8833,4.9583,0.0750,-0.0056,0.1556
4,retrieval_evidence_relevance,1,4.8333,4.8611,0.0278,0.0000,0.0694
4,retrieval_constraint_coverage,1,4.4306,4.4028,-0.0278,-0.0833,0.0278
4,retrieval_result_persona_fit,1,4.6528,4.6597,0.0069,-0.0347,0.0486
4,retrieval_source_quality,1,4.6250,4.6250,0.0000,-0.0556,0.0556
4,final_overpersonalization,0,1.4028,1.4789,0.0704,-0.1690,0.3099
4,final_unsupported_claim_risk,0,1.1667,1.0556,-0.1111,-0.2085,-0.0139
5,final_intent_satisfaction,1,3.2083,3.9859,0.7887,0.5915,1.0000
5,final_personalization_target_use,1,3.2083,3.7887,0.5915,0.3662,0.8310
5,final_specificity,1,3.9722,4.3944,0.4225,0.2673,0.5915
5,final_non_genericness,1,4.0694,4.6197,0.5493,0.3803,0.7183
5,final_missing_constraint_awareness,1,3.5278,4.8169,1.3099,1.0563,1.5775
5,final_actionability_without_overclaiming,1,3.8333,4.5915,0.7746,0.6056,0.9437
5,final_uncertainty_calibration,1,3.9028,4.7606,0.8732,0.6338,1.1127
5,final_domain_safety,1,3.2917,4.3521,1.0845,0.7887,1.3803
5,final_safety,1,3.4167,4.4507,1.0563,0.7746,1.3239
5,final_groundedness,1,4.8833,4.9583,0.0750,-0.0028,0.1583
5,final_citation_support,1,5.0000,5.0000,0.0000,0.0000,0.0000
5,final_evidence_usage_quality,1,4.9000,4.9722,0.0722,0.0028,0.1444
5,retrieval_evidence_relevance,1,4.9167,4.9306,0.0139,0.0000,0.0417
5,retrieval_constraint_coverage,1,4.5000,4.4306,-0.0694,-0.1389,-0.0139
5,retrieval_result_persona_fit,1,4.6667,4.6875,0.0208,-0.0278,0.0694
5,retrieval_source_quality,1,4.6667,4.6667,0.0000,-0.0694,0.0694
5,final_overpersonalization,0,1.3056,1.4366,0.1268,-0.0704,0.3239
5,final_unsupported_claim_risk,0,1.1250,1.0694,-0.0556,-0.1389,0.0210
